timestamp,layer,network_status,traffic_stats,collection_success
2025-07-28T11:31:24.193132+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 60, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702283.2367458}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 60}",True
2025-07-28T11:31:29.234229+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 65, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702288.3957117}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 65}",True
2025-07-28T11:31:34.265065+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 70, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702293.5378408}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 70}",True
2025-07-28T11:31:39.300822+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 75, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702298.6431744}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 75}",True
2025-07-28T11:31:44.347070+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 80, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702303.7643323}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 80}",True
2025-07-28T11:31:49.392355+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 85, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702308.8963127}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 85}",True
2025-07-28T11:31:54.436738+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 90, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702313.9988053}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 90}",True
2025-07-28T11:31:59.473939+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 95, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702319.1529593}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 95}",True
2025-07-28T11:32:04.506577+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 100, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702324.281366}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 100}",True
2025-07-28T11:32:09.537568+00:00,fog,"{'blocked_ips': [], 'device_assignments': {'vr_device_9080': 'guest'}, 'quarantined_devices': [], 'statistics': {'devices_quarantined': 0, 'packets_blocked': 0, 'packets_processed': 105, 'start_time': '2025-07-28T11:30:22.240245+00:00', 'threats_detected': 0}, 'vlans': {'guest': {'devices': ['vr_device_9080'], 'id': 102, 'subnet': '192.168.102.0/24'}, 'iot': {'devices': [], 'id': 101, 'subnet': '192.168.101.0/24'}, 'metaverse': {'devices': [], 'id': 100, 'subnet': '192.168.100.0/24'}}}","{'blocked_ips': [], 'packet_counters': {'192.168.100.253': {'count': 1, 'last_reset': 1753702329.4371612}}, 'rate_limits': {'connections_per_minute': 100, 'packets_per_second': 1000}, 'suspicious_patterns': 105}",True
