ce_cms_fog  | 2025-07-28 11:30:22,242 - INFO - Starting CE-CMS Fog Layer Proxy
ce_cms_fog  | 2025-07-28 11:31:24,191 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:24] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:24,293 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:24] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:25,316 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:25] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:26,361 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:26] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:27,159 - INFO - 127.0.0.1 - - [28/Jul/2025 11:31:27] "GET /health HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:27,381 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:27] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:28,404 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:28] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:29,229 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:29] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:29,233 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:29] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:29,424 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:29] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:30,447 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:30] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:31,503 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:31] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:32,524 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:32] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:33,544 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:33] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:34,258 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:34] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:34,263 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:34] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:34,565 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:34] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:35,585 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:35] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:36,606 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:36] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:37,629 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:37] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:38,650 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:38] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:39,296 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:39] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:39,299 - INFO - 172.20.0.5 - - [28/Jul/2025 11:31:39] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:39,676 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:39] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:31:40,700 - INFO - 172.20.0.2 - - [28/Jul/2025 11:31:40] "POST /device_data HTTP/1.1" 200 -
