ce_cms_device  | 2025-07-28 11:30:23,048 - INFO - ESA initialized for device vr_device_9080
ce_cms_device  | 2025-07-28 11:32:44,743 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:44] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:44,748 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:44] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:49,783 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:49] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:49,787 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:49] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:54,819 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:54] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:54,823 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:54] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:59,853 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:59] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:32:59,857 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:59] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:04,886 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:04] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:04,891 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:04] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:09,924 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:09] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:09,929 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:09] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:14,958 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:14] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:14,963 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:14] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:19,996 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:19] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:20,001 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:20] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:25,035 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:25] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:25,040 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:25] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:30,069 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:30] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:30,074 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:30] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:35,101 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:35] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:35,106 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:35] "GET /sensor_data HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:40,130 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:40] "GET /esa_status HTTP/1.1" 200 -
ce_cms_device  | 2025-07-28 11:33:40,139 - INFO - 172.20.0.5 - - [28/Jul/2025 11:33:40] "GET /sensor_data HTTP/1.1" 200 -
